mes,Dato_usuarios,Acum_usuarios,Dato_descargas_app,Acum_descargas_app,Dato_búsquedas,Acum_búsquedas,Dato_recurrencia,Acum_recurrencia,Dato_proyectos,Acum_proyectos,Dato_usuarios_por_proyecto,Acum_usuarios_por_proyecto,Dato_información,Acum_información,Dato_red,Acum_red,Dato_recursos,Acum_recursos,Dato_relaciones,Acum_relaciones,Dato_perfiles_referentes,Acum_perfiles_referentes,Dato_organizaciones,Acum_organizaciones,Dato_personas,Acum_personas,Dato_búsqueda_de_empleo,Acum_búsqueda_de_empleo,Dato_retos,Acum_retos,Dato_actualidad,Acum_actualidad,Dato_ayudas_y_subvenciones,Acum_ayudas_y_subvenciones,Dato_eventos,Acum_eventos,Dato_formación_y_prácticas,Acum_formación_y_prácticas,Dato_orientación_laboral,Acum_orientación_laboral,Dato_ofertas_de_empleo,Acum_ofertas_de_empleo,Dato_conversaciones,Acum_conversaciones,Dato_grupos,Acum_grupos,Dato_conversaciones_privadas,Acum_conversaciones_privadas,Dato_mensajes,Acum_mensajes,Dato_contenido_compartido_en_conversaciones,Acum_contenido_compartido_en_conversaciones,Dato_conversaciones_de_participación,Acum_conversaciones_de_participación,Dato_usuarios_por_conversación,Acum_usuarios_por_conversación,Dato_calidad_media_del_mensaje,Acum_calidad_media_del_mensaje,Dato_canales,Acum_canales,Dato_suscritos_a_canales,Acum_suscritos_a_canales,Dato_contenido_compartido_en_canales,Acum_contenido_compartido_en_canales,Dato_asistentes_a_eventos,Acum_asistentes_a_eventos,Dato_campañas,Acum_campañas,Dato_acciones,Acum_acciones,Dato_visitas,Acum_visitas,Dato_visitas_a_proyectos,Acum_visitas_a_proyectos,Dato_visitas_a_red,Acum_visitas_a_red,Dato_oportunidades,Acum_oportunidades,Dato_actividades,Acum_actividades,Dato_usuarios_por_actividad,Acum_usuarios_por_actividad
Julio 2022,1,41,0,7,69,791,0.39020000000000005,0.39020000000000005,-1,12,2.58,2.58,8,202,3,43,5,159,2,13,0,0,0,2,1,34,2,7,0,0,4,84,0,25,0,13,1,23,0,10,0,4,9,36,0,8,9,28,13,229,0,16,0,0,3.75,3.75,0.7562000000000001,0.7562000000000001,0,5,1,18,8,159,0,0,0,0,0,0,3983,182562,191,31695,233,21302,0,0,0,1,8,8
Agosto 2022,0,41,0,7,46,837,0.2439,0.2439,0,12,2.58,2.58,0,202,0,43,0,159,0,13,0,0,0,2,0,34,0,7,0,0,0,84,0,25,0,13,0,23,0,10,0,4,0,36,0,8,0,28,15,244,0,16,0,0,3.75,3.75,0.7711,0.7711,0,5,0,18,0,159,0,0,0,0,0,0,2163,184725,144,31839,87,21389,0,0,0,1,8,8
Septiembre 2022,1,42,1,8,70,907,0.3095,0.3095,0,12,2.67,2.67,4,206,4,47,0,159,0,13,1,1,0,2,2,36,2,9,0,0,0,84,0,25,0,13,0,23,0,10,0,4,5,41,0,8,5,33,22,266,0,16,0,0,3.54,3.54,0.7901,0.7901,0,5,0,18,3,162,0,0,0,0,0,0,6056,190781,507,32346,412,21801,0,0,0,1,8,8
Octubre 2022,3,45,0,8,89,996,0.3778,0.3778,-2,10,3.0,3.0,8,214,2,49,6,165,0,13,0,1,0,2,2,38,0,9,0,0,2,86,1,26,1,14,1,24,1,11,0,4,0,41,0,8,0,33,23,289,0,16,0,0,3.54,3.54,0.794,0.794,0,5,0,18,7,169,0,0,0,0,0,0,4798,195579,319,32665,261,22062,0,0,0,1,8,8
Noviembre 2022,2,47,1,9,112,1108,0.2766,0.2766,0,10,3.0,3.0,5,219,1,50,4,169,0,13,0,1,0,2,1,39,0,9,0,0,1,87,0,26,3,17,0,24,0,11,0,4,0,41,0,8,0,33,21,310,0,16,0,0,3.54,3.54,0.8024,0.8024,0,5,0,18,5,174,0,0,0,0,0,0,12037,207616,1656,34321,887,22949,0,0,0,1,8,8
Diciembre 2022,1,48,0,9,56,1164,0.3125,0.3125,-1,9,3.22,3.22,1,220,0,50,1,170,0,13,0,1,0,2,0,39,0,9,0,0,1,88,0,26,0,17,0,24,0,11,0,4,0,41,0,8,0,33,11,321,1,17,0,0,3.54,3.54,0.8092,0.8092,0,5,0,18,0,174,0,0,0,0,0,0,4251,211867,505,34826,322,23271,0,0,0,1,8,8
Enero 2023,1,49,0,9,66,1230,0.3265,0.3265,0,9,3.22,3.22,2,222,2,52,0,170,3,16,0,1,1,3,1,40,0,9,0,0,0,88,0,26,0,17,0,24,0,11,0,4,2,43,0,8,2,35,20,341,0,17,0,0,3.47,3.47,0.8204,0.8204,0,5,0,18,0,174,0,0,0,0,0,0,3731,215598,563,35389,190,23461,0,0,0,1,8,8
Febrero 2023,1,50,0,9,38,1268,0.24,0.24,1,10,3.2,3.2,2,224,2,54,0,170,0,16,0,1,0,3,2,42,0,9,0,0,0,88,0,26,0,17,0,24,0,11,0,4,-6,37,0,8,-6,29,-1,340,0,17,0,0,3.7,3.7,0.8199,0.8199,0,5,0,18,0,174,0,0,0,0,0,0,3036,218634,228,35617,87,23548,0,0,0,1,8,8
Marzo 2023,1,51,-2,7,100,1368,0.4118,0.4118,0,10,3.7,3.7,5,229,3,57,2,172,4,20,0,1,1,4,2,44,0,9,0,0,1,89,1,27,0,17,1,25,-1,10,0,4,3,40,0,8,3,32,19,359,-1,16,0,0,3.63,3.63,0.8151999999999999,0.8151999999999999,0,5,2,20,5,179,0,0,0,0,0,0,-891,217743,118,35735,-118,23430,0,0,0,1,8,8
Abril 2023,11,62,1,8,97,1465,0.4355,0.4355,-1,9,4.56,4.56,10,239,12,69,-2,170,0,20,0,1,2,6,10,54,0,9,0,0,-4,85,1,28,1,18,0,25,0,10,0,4,13,53,3,11,10,42,742,1101,0,16,0,0,2.85,2.85,0.6806,0.6806,4,9,0,20,240,419,0,0,0,0,0,0,7036,224779,310,36045,601,24031,0,0,0,1,8,8
